training/log10loss/mean,training/loss/q_loss/std,training/time/grad/std,training/time/loss/max,training/loss/mean,training/loss/v_loss/std,training/epochs,training/loss/v_loss/mean,training/epoch_time,training/time/grad/mean,training/cpu_memory_MB,training/time/grad/max,training/time/loss/std,training/loss/std,training/loss/q_loss/mean,training/time/loss/mean,training/time/loss/min,training/log10loss/std,training/time/grad/min
-1.7563534,1.4576131923423185e-05,0.00851182330977077,0.2842059429999608,0.017624848,0.018911935901145108,,0.17499950072831577,36.11311525200017,0.20432189715279492,949.56,0.25591213799998513,0.017598195556148142,0.0019054331,0.00012489864659275755,0.19152123433335394,0.15811377799991533,0.046202403,0.1984271040000749
-1.7701011,1.6071542499915147e-05,0.006627578192896062,0.22143147099995986,0.017106911,0.02078960373646675,1,0.16985157690942287,36.0197678479999,0.20383921605561126,1364.992,0.2339940659999229,0.014380101108257168,0.0020946914,0.00012175334248038578,0.189341721513895,0.15450243099985528,0.05349187,0.1967565879999711
-1.7795165,1.2311084577518218e-05,0.003806985673853406,0.22140570299961837,0.016687214,0.01551652508368638,2,0.16568088117572996,35.31588199399994,0.2011818111805294,1365.184,0.21810484799971164,0.012261698189870806,0.0015635291,0.00011912528114205795,0.18912120536108684,0.16444706400034192,0.0406231,0.19676437499992971
-1.7950281,1.2348667030064444e-05,0.0006793755713923423,0.2306715200002145,0.016113766,0.016343256478864435,3,0.15998367158075175,34.5376551129998,0.1999226480138974,1365.224,0.2035381939999752,0.020660564366937636,0.0016463443,0.00011539894684473338,0.17934084419445956,0.15304138499959663,0.04379628,0.19731445999968855
-1.8181214,1.1135437392977085e-05,0.0006094174712133063,0.2086301210001693,0.015260796,0.0134639412605439,4,0.15151276563604674,34.83274923399995,0.1999825150555681,1365.224,0.2030378380000002,0.01574325788169809,0.0013572212,0.00010951885633403435,0.18364302222219445,0.1556637460003003,0.0383256,0.19771930600018095
-1.8451303,1.0252196329181544e-05,0.0006310533198138719,0.21917733100008263,0.014345755,0.013366542038609264,5,0.14242750344177088,35.5635540330004,0.199984977819415,1365.244,0.20291905900012353,0.007784937963661864,0.0013464612,0.00010300348387520191,0.19386448063887152,0.16735213399988424,0.039836995,0.19763154800011762
-1.862384,8.745615583906e-06,0.0005962645408062423,0.21303151300026002,0.013773881,0.01117074067728911,6,0.13674749578866693,35.08435601300016,0.1999309941527814,1365.252,0.20349226200005432,0.008004052479377292,0.0011253142,9.913060017020648e-05,0.18842920168054256,0.16999627599989253,0.035333287,0.19743074100006197
-1.8759923,9.496418831730974e-06,0.0005939467691889413,0.20274909599993407,0.0133588035,0.012031903490966203,7,0.13262589969154862,34.88650016099973,0.1998398909444682,1365.252,0.2030768409999837,0.005115791746239048,0.0012122602,9.621245297037401e-05,0.1848414724583386,0.1682611419996647,0.039005745,0.19735291900042284
-1.887349,8.043139438850586e-06,0.00055803641020724,0.1971666629997344,0.013003324,0.010420868194427035,8,0.1290958919044998,34.938515526000174,0.19982300315277574,1365.256,0.20317535100002715,0.0050933572425928796,0.0010498329,9.373509763261407e-05,0.18551308319443807,0.1665337819999877,0.03486758,0.19734694399994623
-1.8965143,8.910047986922911e-06,0.0006616337167182071,0.20592519899992112,0.012738081,0.010999485286774077,9,0.12646039885779223,34.98039365400018,0.1998730071111115,1365.256,0.20316135299981397,0.0076484913994386595,0.0011084995,9.204120447571363e-05,0.18658515009719975,0.16585734300042532,0.037384816,0.19706564799980697
-1.90572,7.088528201779096e-06,0.0006222936450079961,0.20662634400014213,0.012454076,0.008567578681763601,10,0.12364056706428528,34.99712227700002,0.19996715380554836,1365.256,0.2033237040000131,0.007979367250975016,0.00086325477,9.00188281068242e-05,0.18589041031944792,0.16009139700008745,0.029855458,0.19765097099980267
-1.9152198,1.0385688984052266e-05,0.0006974131968277353,0.22300877800034868,0.012222263,0.012763889941300852,11,0.12133841444220808,35.056541086999914,0.1998977029861256,1365.256,0.20329565100018954,0.007859191932316816,0.0012863989,8.842125720952431e-05,0.18669988798608805,0.15644751899981202,0.04528487,0.19691240000020116
